게시순번,제목,내용,등록일,관련기관명
"419,789","광주도시철도공사, 재능나눔 봉사활동 펼쳐","광주도시철도공사, 재능나눔 봉사활동 펼쳐- 취약계층 주거환경 개선위해 구슬땀 흘려광주도시철도공사(사장 윤진보)가 추석을 앞둔 지난 25일 어려운 이웃의 주거환경개선을 위한 재능나눔 봉사활동을 펼쳐 눈길을 끌었다.이날 공사 기술운영처 직원 10여 명은 광주 남구에 거주하는 다문화가정인 A씨의 집이 너무 오래돼 생활이 어렵다는 딱한 사연을 접하고 집 고치기 봉사에 나섰다.직원들은 출산을 앞둔 A씨가 깨끗한 환경에서 아기와 몸조리를 할 수 있도록 조명과 콘센트 등의 전기시설 교체, 주방 싱크대 교체, 욕실 세면대 설치, 도배장판 교체 등에 구슬땀을 흘렸다.같은 날, 차량운영처 직원 10여명도 서구의 기초생활수급자 B씨의 집을 찾아 낡아 위험한 전기시설들을 개보수하고 주택과 인근지역에 대한 방역작업까지 실시해 큰 호응을 얻었다.공사는 사회적 거리두기 장기화로 가정에 머무는 시간이 길어지면서 주거환경이 열악한 취약계층에 대한 관심이 어느 때보다 필요하다고 보고, 기술력을 활용한 재능기부 봉사활동을 활발하게 펼치고 있다.이와 관련, 광주도시철도공사 윤진보 사장은 재능나눔으로 시민에게 행복을 드리게 돼 기쁘게 생각한다면서 코로나로 힘든 시기지만 시민 모두가 편안하시도록 작은 힘이나마 꾸준히 보태겠다고 밝혔다.이인경 기자 ink1027@hanmail.net[출처 : 레일뉴스(http://www.itrailnews.co.kr/)]",2020.9.28,레일뉴스
"419,788","SR, 추석 명절 앞두고 방역 강화","SR, 추석 명절 앞두고 방역 강화- 빈틈없는 안심방역으로 코로나19 제로화 이어간다SRT 운영사 SR(대표이사 권태명)이 추석 명절 대이동을 앞두고 코로나19 확산 방지를 위해 방역을 강화했다.SRT 열차는 하루 4회 이상 특수방역하며 운행 중에도 객실장과 승무원이 승강문, 화장실 손잡이 등에 수시로 소독제를 뿌린다. 열차 승차 시 마스크 착용 의무화에 따라 역사와 열차 자판기에서 마스크를 판매하고 있으며, 공기 중 감염을 예방하기 위해 4분마다 객차 공조장치를 가동해 실내 공기를 환기하는 등 철통방역체계를 유지하고 있다.특히 추석 명절 기간에는 열차 내 사회적 거리두기를 위해 창가좌석만 운영한다. 마스크 착용, 객실 내 음식물 섭취 자제, 손 소독 등 개인방역을 철저하게 지키며 SRT를 이용하도록 안내할 계획이다.SRT 수서동탄지제역사는 하루 3회 이상 방역하며, 안내센터와 수유실 등에 손소독제를 비치하고 모든 출입구에는 열화상카메라가 설치돼있다. 수도권 사회적 거리두기 2단계 격상 후에는 승하차 동선을 분리해 고객 간 2차 접촉을 최소화하고 있으며, 수서역 승강장에 자동분사형 손소독기를 확대 설치했다.이용객이 많은 수서역 입점식당매장에는 테이블 칸막이와 바이러스 케어기능이 있는 공기살균기를 설치해 비말 전파로 인한 코로나19 감염 우려를 해소하는 등 역사 내 방역대책을 대폭 강화했다.지난 10일(목)에는 철도역사 최초로 수서동탄지제역 매표창구에 QR코드를 이용한 전자출입명부를 도입했다. 28일(월)부터는 역사 자동발매기에 비접촉 터치스크린을 설치해 바이러스 전염을 차단한다. 비접촉 터치스크린 역시 철도역사 최초다.권태명 SR 대표이사는 코로나19가 재확산되며 감염병 위험이 다시 높아지는 가운데, 방역대책을 철저히 재정비해 추석 명절 기간 SRT를 이용하는 고객들의 불안감을 해소하고, 역열차 내 코로나19 감염 제로를 이어가겠다.라고 밝혔다.이인경 기자 ink1027@hanmail.net[출처 : 레일뉴스(http://www.itrailnews.co.kr/)]",2020.9.28,레일뉴스
"419,787","“한국철도공사 고속전기사업단, 추석 명절 앞두고 훈훈한 온정의 손길 펼쳐“","한국철도공사 고속전기사업단, 추석 명절 앞두고 훈훈한 온정의 손길 펼쳐한국철도공사 고속전기사업단(단장 안종백)은 추석 명절을 맞아 따뜻한 정을 나누기 위해 지난 25일 오송종합사회복지관(관장 김창수)을 찾아 온누리 상품권 200만원을 전달하였다.한국철도공사 고속전기사업단은 코로나-19 여파로 정부의 방역 지침 준수를 위해 올해는 비대면으로 선물을 전달하며 명절의 의미를 더하였다. 이날 행사는 과일, 전 등 8종으로 구성된 추석 선물 셋트로 오송종합사회복지관을 통해 지역 내 취약계층에게 전달하고 격려하였다.명절 선물을 전달 받은 김○○은 코로나 19 사태가 장기화됨에 따라 일자리를 잃게 되어 어려움을 겪고 있는데, 어려운 이웃을 잊지 않고 따뜻한 마음을 전해준 기부자에게 감사의 인사를 드립니다. 더 힘을 내어 잘 살아 보겠습니다 라고 말하였다.한국철도공사 고속전기사업단과 오송종합사회복지관은 매년 설, 추석 명절 외 해피트레인 등 다양한 사업을 통해 저소득층에게 맞춤형 서비스를 제공하고 있으며 다양한 기부 및 나눔 활동을 폭넓게 추진하여 지역사회에 큰 귀감이 되고 있다.이인경 기자 ink1027@hanmail.net[출처 : 레일뉴스(http://www.itrailnews.co.kr/)]",2020.9.28,레일뉴스
"419,786","대구도시철도, 코로나19 극복과 사회적 가치 실현을 위한 노사 공동 결의문 채택","대구도시철도, 코로나19 극복과 사회적 가치 실현을 위한 노사 공동 결의문 채택대구도시철도공사(사장 홍승활)는 지난 24일(목) 15시 본사 5층 회의실에서 대구지하철노조 및 대구도시철도노조와 함께 코로나19 위기 극복과 사회적 가치 실현을 위한 노사 공동 결의문을 채택했다고 밝혔다.이번 행사는 대구도시철도공사와 양 노조 간 상생과 협력의 노사관계를 바탕으로 코로나19로 인한 사회▶경제적 위기를 함께 극복하고 지역사회에 공기업으로서 사회적 책임을 다하고자 마련됐다.결의문의 주요 내용은 ▶코로나19 위기 인식으로 안전하고 편리한 대중교통 서비스와 쾌적한 도시철도 환경 제공 ▶코로나19로 인한 직원들의 심리적 불안 해소를 위한 존중▶배려의 직장문화 조성 ▶지역공동체 피해회복 지원과 지역경제 활성화 도모 ▶사회적 약자 배려와 사회적 책임 적극 이행 ▶시민 눈높이에 맞는 양질의 일자리 창출 ▶정부 주도 한국형 뉴딜 정책 추진을 위한 역할과 책임 강화 등이다.홍승활 대구도시철도공사 사장은노사가 한마음으로 채택한 결의문을 확고히 이행해 국가적 위기 상황 극복에 최선을 다할 것이라며 위드(With) 코로나 시대에 기술 혁신과 사회적 가치 실현으로 도시철도 운영의 새로운 기준을 선도해 나가겠다고 말했다.한편 공사는 지난 4월부터 6월까지 3개월간 매월 사장 100만원, 본부장 50만원, 1급 40만원, 2급 30만원, 3급 20만원, 4급 이하 자율로 월급을 반납해 모은 성금 1억 6백만 원을 코로나19로 어려움에 처한 지역민들에게 지원한 바 있다.이인경 기자 ink1027@hanmail.net[출처 : 레일뉴스(http://www.itrailnews.co.kr/)]",2020.9.28,레일뉴스
"419,785",코로나19 시대 비대면 여가활동…공항철도 타고 자전거 타고,"코로나19 시대 비대면 여가활동공항철도 타고 자전거 타고- 계양검암역 자전거 대여소로 지정해 사전예약 시 10% 할인 제공△ 검암역 자전거 대여소 두바퀴로 떠나는 여행공항철도(김한영 사장)는 9월 26일부터 11월 9일까지 자전거 대여 어플리케이션인 라이클(Lycle)과 제휴하여 역사 소상공인 상업시설을 연계한 자전거 대여 할인 프로모션을 진행한다.라이클(Lycle) 어플리케이션을 통해 계양역과 검암역 자전거대여소를 10% 할인된 금액으로 이용할 수 있다. 할인 혜택은 라이클(Lycle) 어플리케이션을 통해 사전 예약한 경우에 한해 적용된다.또한 개인 인스타그램에 이용 인증샷을 업로드하고, 공항철도 인스타그램에 이벤트 참여 댓글을 남기면 추첨을 통해 50명에서 커피 쿠폰을 선물하는 이벤트도 함께 진행된다.자세한 사항은 공항철도 역사 게시판과 홈페이지(www.arex.or.kr), 인스타그램에서 확인 가능하다.공항철도 계양검암역과 인접한 경인 아라뱃길은 도보 5분 거리에 위치해 있으며 자전거 도로가 잘 되어 있어 평일과 주말을 가리지 않고 자전거족의 방문이 많다. 특히 코로나19 유행으로 실내운동과 대중교통 이용을 기피하는 사람들이 늘면서 개별적으로 활동하는 여가활동인 자전거가 각광을 받고 있다.이인경 기자 ink1027@hanmail.net[출처 : 레일뉴스(http://www.itrailnews.co.kr/)]",2020.9.28,레일뉴스
"419,784","한국철도, 수해 이웃돕기 성금 1억 원 전달","한국철도, 수해 이웃돕기 성금 1억 원 전달■ 한국철도(코레일)가 25일 집중호우와 태풍으로 피해를 입은 이재민들의 추석명절나기를 돕기 위해 희망브리지 전국재해구호협회에 1억 원을 기부했다.■ 이번 성금은 임직원이 자발적으로 급여의 일부를 기부한 사회복지공동모금회 지정 기탁금으로 마련했으며, 특별재난지역으로 선정된 30개 시군구과 36개 읍면동 수해 복구에 쓰인다.■ 한국철도 관계자는 수해로 어려움을 겪으신 지역 주민들이 추석명절을 따뜻하게 보낼 수 있도록 도움을 드리고자 마음을 모았다고 말했다.",2020.9.28,한국철도공사
"419,783","인천교통공사, 하도급 옴부즈만 제도 도입","인천교통공사, 하도급 옴부즈만 제도 도입인천교통공사(사장 정희윤)는 원도급자와 하도급자간 공정거래 실태를 중점점검하고 사업수행 과정에서 발생하는 하도급업체의 애로불편사항을 해소하기 위해 공사 감사실 내 자체 하도급 옴부즈만을 10월부터 운영한다고 25일 밝혔다.하도급 옴부즈만은 감사부서 근무자 중 공사에서 발주한 사업과 관련된 분야에서 10년 이상 종사한 경력자로 지정, 하도급업체들의 애로 사항을 청취하고 하도급 관련 불공정한 사항이나 불법부당사항에 대한 신고를 온오프라인으로 접수하여 확인하는 등 공정경제 확립을 강화하기 위해 도입된 제도이다.아울러 인천교통공사와 계약을 체결한 원도급업체에 대해 연 1회 감사실 자체 하도급 관련 실태조사를 실시하여 하도급법 위반혐의가 발견될 경우 공정거래위원회에 즉시 통보할 계획이다.전상주 인천교통공사 상임감사는 원도급업체가 우월적 지위를 이용하여 하도급업체에게 행하는 부당한 갑질 및 불공정 사항을 차단하기 위해 하도급 옴부즈만 제도를 도입하게 됐다며 앞으로도 공정경제 확립에 선도적 역할을 수행하는 지방공기업의 사회적 책임을 적극 이행해 나갈 것이라고 말했다.",2020.9.28,인천교통공사
"419,782","서울 지하철 스마트팜, 지방공기업 혁신 최우수 사례 뽑혀","서울 지하철 스마트팜, 지방공기업 혁신 최우수 사례 뽑혀- 일자리 창출 및 지역경제 활성화 부문서 행정안전부 장관상(최우수상) 수상- 정보통신기술 접목해 지하철에 도시농장 조성, 수익 및 고용 창출한 점 높이 평가- 남부터미널역 등에도 추가 조성 중도시농업의 새로운 방안으로서 혁신 거듭할 것■ 서울교통공사(사장 김상범, 이하 공사)의 지하에서도 쑥쑥, 메트로 스마트팜이 만드는 ICT 농업혁신 사업이 지방공기업평가원(행정안전부)의 2020년도 지방공기업 혁신우수사례 경진대회 중 일자리 창출 및 지역경제 활성화 부문 최우수상(행안부 장관상)을 수상했다.○ 지방공기업 혁신우수사례 경진대회는 지방공기업의 혁신우수사례를 발굴하기 위해 지방공기업평가원이 올해 첫 개최한 대회로, 총 382건의 사례가 접수됐다.■ 스마트팜은 로봇이 파종과 수확까지 맡아 청정채소를 재배하고, 이를 365일 24시간 이어갈 수 있는 재배시설이다. 공사는 이 스마트팜을 지하철역에 설치하고, 농업회사법인 팜에이트(주)와 협력해 메트로팜이라는 고유 브랜드를 붙였다.○ 스마트팜은 정부의 혁신성장 8대 선도사업서울시 생태감수성을 높이는 도시농업활성화 등 각종 공공정책에 부응해, 역사 내 공실상가노후화 시설 등 유휴공간을 효율적으로 활용하기 위해 준비한 사업이다.■ 지하철 스마트팜은. 역사 내 기존 구조물을 이용함으로써 설치비를 절약할 수 있으며, 첨단 정보통신기술(ICT)을 통해 식물이 자라는데 필요한 환경요소(빛, 온도, 습도, 이산화탄소 농도, 양분 등)를 인공적으로 제어해 식물을 안정적으로 생산할 수 있다는 장점이 있다.■ 공사는 작년 6월부터 5호선 답십리역7호선 상도역을 시작으로 천왕역충정로역을지로3가역 등 5개 역사에 도시형 스마트팜을 조성해 시범운영 중인데, 작물 판매체험 방문 등을 통해 7천 5백만 원의 매출을 올리며 신규 수익원을 창출해내는 성과를 거뒀다.■ 200여 명이 넘는 일자리 창출 효과도 기대된다. 현재 시범운영 사업을 통해 창출한 8명을 포함, 향후 남부터미널 등 대규모 스마트팜 공간이 완공되면 청년창업 지원 및 취약계층을 대상으로 관련 근무자를 우선 모집해 대규모 도시형 일자리를 마련할 예정이다.■ 주진중 서울교통공사 복합개발처장은 메트로팜의 노력이 도시농업 분야의 일자리 창출과 수익 마련, 문화 공간 창출이라는 성과를 이끌어 내 높이 평가받은 것 같아 기쁘다.라며, 메트로팜이 앞으로도 도시농업의 새로운 방안으로 자리 잡도록 혁신을 거듭해 나가겠다.라고 말했다.",2020.9.28,서울교통공사
"419,781","대전도시철도,「비대면 안심 항균 방역게이트」시범운영","대전도시철도,「비대면 안심 항균 방역게이트」시범운영- 대전시ㆍ지역 기업과의 협업 통해 4차 산업혁명 기술 적용... 추석 연휴 도시철도 대전역에 설치 -대전도시철도공사는 대전의 관문이자 유동인구가 가장 많은 도시철도 대전역에 「비대면 안심 방역 게이트」를 설치, 9월 22일부터 10월 7일까지 16일간 시범운영한다고 24일 밝혔다.이번 조치로 추석 연휴 기간 KTXㆍ일반열차 등을 통해 대전을 방문하거나, 고향을 방문하고 대전으로 돌아오는 귀성객에 대해 보다 효과적이고 철저한 방역 대응이 가능해졌다.「비대면 안심 항균 방역게이트」는 대전 소재 기업인 ㈜성진테크윈이 제작했으며 폭 1.7mㆍ길이 2.0mㆍ높이 2.2m 크기로, 게이트 앞에서 체온을 측정한 뒤 게이트를 통과하면 센서가 움직임을 감지해 자동으로 항균액을 분무하는 방식이다.항균액은 미국 식품의약국(FDA) 승인을 받은 제품으로 무화학ㆍ무독성 100% 천연성분을 사용해 인체에 무해하며, 항균 시험을 거쳐 화장품 미스트로 등록될 정도로 안전하다. 또한 나노 안개분사 방식으로 의복과 헤어스타일에 지장을 주지 않고, 항균액에 의해 안경이 젖는 현상이 없어 편리하게 이용할 수 있다.대전도시철도공사 오세윤 역무운영팀장은이번 사업은대전형 4차 산업혁명 기술 테스트베드 사업의 일환으로 지역 산업발전에 기여할 것이라며대전 시민뿐 아니라 추석 연휴 대전을 방문하는 외지인들도 안심하고 도시철도를 이용해 주시길 바란다고 말했다.",2020.9.28,대전도시철도공사
"419,780","SR, 협력사 공동 갑질 근절 선포","SR, 협력사 공동 갑질 근절 선포- SRT 승무, 역열차 청소 등 위탁 협력사와 상호 배려존중 문화 확산SRT 운영사 SR(대표이사 권태명)은 24일(목) 주요 협력사인 코레일관광개발, 코레일테크, 코레일네트웍스와 공동으로 갑질 근절 선포식을 가졌다.이번 선포식은 SRT 승무, 역열차 청소 등 주요 업무를 위탁하고 있는 협력사와 갑질을 예방하고 피해자 지원을 위한 활동이자, 적극적인 사회적 책임 경영 활동으로 상호 배려하고 존중하는 문화를 확산시키고자 개최했다.선포문 주요 내용은 △건강한 협력체계 구축 △인권존중 문화 확산 △갑질 예방을 위한 노력 △부당업무 및 사적 지시 금지 등이다.이번 선포식은 코로나19 확산방지를 위한 사회적 거리두기 2단계에 따라 각 기관의 집무실에서 선언문 서명 후 교환하는 비대면 방식으로 진행됐다.권태명 SR 대표이사는 공정한 직무수행을 저해하는 갑질행위는 반드시 근절돼야 한다.라며 앞으로도 협력사와 함께 행복한 직장, 행복한 사회를 조성하기 위해 끊임없이 노력하겠다.라고 밝혔다.",2020.9.28,(주)SR
